NCTId,BriefTitle,Condition,LeadSponsorName,OverallStatus,Phase,InterventionType,CompletionDate,InterventionName
NCT04908475,Study of Subcutaneous Risankizumab Injection Compared to Oral Apremilast Tablets to Assess Change in Disease Activity And Adverse Events in Adult Participants With Moderate Plaque Psoriasis Who Are Candidates for Systemic Therapy,Psoriasis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","April 2, 2023","['Risankizumab', 'Apremilast']"
NCT04713592,Study of Subcutaneous (Injected Under the Skin) Risankizumab to Assess Change in Disease Symptoms in Adult Participants With Moderate to Severe Plaque Psoriasis With Palmoplantar Involvement,Psoriasis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","April 9, 2023","['Risankizumab', 'Placebo for Risankizumab']"
NCT04451720,Study of Subcutaneous Risankizumab Injection to Assess Change in Palmoplantar Pustulosis Area and Severity Index [PPPASI] in Adult Japanese Participants With Palmoplantar Pustulosis,Palmoplantar Pustulosis (PPP),AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","November 15, 2022","['Risankizumab', 'Placebo']"
NCT04169373,A Study to Evaluate Efficacy and Safety of Upadacitinib in Adult Participants With Axial Spondyloarthritis,Spondyloarthritis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","July 3, 2025","['Upadacitinib', 'Placebo']"
NCT03607422,A Study to Evaluate Upadacitinib in Adolescents and Adults With Moderate to Severe Atopic Dermatitis (Measure Up 2),Atopic Dermatitis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","December 3, 2025","['Placebo for Upadacitinib', 'Upadacitinib']"
NCT03573297,"A Cariprazine Study in the Prevention of Relapse in Bipolar I Disorder Patients Whose Current Episode is Manic or Depressive, With or Without Mixed Features","['Bipolar I Disorder', 'Mania', 'Depression']",AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","September 11, 2022","['Cariprazine', 'Placebo']"
NCT03569293,Evaluation of Upadacitinib in Adolescent and Adult Patients With Moderate to Severe Atopic Dermatitis (Eczema),Atopic Dermatitis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","October 9, 2025","['Placebo for Upadacitinib', 'Upadacitinib']"
NCT03345823,A Maintenance and Long-Term Extension Study of the Efficacy and Safety of Upadacitinib (ABT-494) in Participants With Crohn's Disease Who Completed the Studies M14-431 or M14-433,Crohn's Disease,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","October 2, 2027","['Upadacitinib', 'Placebo for Upadacitinib']"
NCT03104374,A Study Comparing Upadacitinib (ABT-494) to Placebo in Participants With Active Psoriatic Arthritis Who Have a History of Inadequate Response to at Least One Biologic Disease Modifying Anti-Rheumatic Drug (bDMARD),Psoriatic Arthritis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","September 29, 2023","['Upadacitinib', 'Placebo']"
NCT03006068,A Study to Evaluate the Long-Term Safety and Efficacy of Upadacitinib (ABT-494) in Participants With Ulcerative Colitis (UC),Ulcerative Colitis (UC),AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","August 28, 2024","['Upadacitinib (ABT-494)', 'Placebo']"
NCT04195698,Open-Label Extension Study of Upadacitinib in Adult Participants With Moderate to Severe Atopic Dermatitis,Atopic Dermatitis,AbbVie,"Active, not recruiting",Phase 3,Drug,"March 2, 2023",Upadacitinib
NCT04102007,A Study of the Safety and Efficacy of Risankizumab in Adult Participants With Plaque Psoriasis Who Have Had a Suboptimal Response to Secukinumab or Ixekizumab,Plaque Psoriasis,AbbVie,"Active, not recruiting",Phase 3,Drug,"November 16, 2022",Risankizumab
NCT03781167,A Study to Evaluate the Safety and Tolerability of ABBV-951 in Participants With Parkinson's Disease (PD),Parkinson's Disease (PD),AbbVie,"Active, not recruiting",Phase 3,Drug,"September 27, 2022",ABBV-951
NCT03695237,"A Study to Evaluate Safety, Efficacy, Pharmacokinetics, and Pharmacodynamics of Leuprolide Acetate 45mg 6-Month Formulation in Children With Central Precocious Puberty (CPP)",Central Precocious Puberty (CPP),AbbVie,"Active, not recruiting",Phase 3,Drug,"November 15, 2023",Leuprolide Acetate (LA)
NCT03941964,A Study of the Effectiveness of Venetoclax in Combination With Azacitidine or Decitabine in an Outpatient Setting in Patients With Acute Myeloid Leukemia (AML) Ineligible for Intensive Chemotherapy,"['Acute Myeloid Leukemia (AML)', 'Cancer']",AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","April 27, 2022","['venetoclax', 'azacytidine', 'decitabine']"
NCT03661138,A Study to Evaluate Safety of Upadacitinib in Combination With Topical Corticosteroids in Adolescent and Adult Participants With Moderate to Severe Atopic Dermatitis,Atopic Dermatitis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","August 12, 2022","['Upadacitinib', 'Placebo for upadacitinib', 'Topical Corticosteroids (TCS)']"
NCT03568318,A Study to Evaluate Upadacitinib in Combination With Topical Corticosteroids in Adolescent and Adult Participants With Moderate to Severe Atopic Dermatitis,Atopic Dermatitis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","November 16, 2025","['Placebo', 'Upadacitinib', 'Topical corticosteroids (TCS)']"
NCT03406156,"A Study in Previously Untreated Chronic Lymphocytic Leukemia (CLL) Subjects, Excluding Those With the 17p Deletion, to Evaluate Debulking Regimens Prior to Initiating Venetoclax Combination Therapy","['Chronic Lymphocytic Leukemia (CLL)', 'Small Lymphocytic Lymphoma (SLL)']",AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","July 19, 2023","['Obinutuzumab', 'Bendamustine', 'Venetoclax']"
NCT03069352,A Study of Venetoclax in Combination With Low Dose Cytarabine Versus Low Dose Cytarabine Alone in Treatment Naive Patients With Acute Myeloid Leukemia Who Are Ineligible for Intensive Chemotherapy,Acute Myeloid Leukemia (AML),AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","July 20, 2022","['Placebo', 'Venetoclax', 'Cytarabine']"
NCT02993523,A Study of Venetoclax in Combination With Azacitidine Versus Azacitidine in Treatment Naïve Subjects With Acute Myeloid Leukemia Who Are Ineligible for Standard Induction Therapy,Acute Myeloid Leukemia (AML),AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","September 26, 2022","['Azacitidine', 'Venetoclax', 'Placebo']"
NCT03213457,A Clinical Study to Evaluate the Safety and Efficacy of Elagolix in Participants With Moderate to Severe Endometriosis-Associated Pain,Endometriosis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","January 30, 2023","['Estradiol/Norethindrone Acetate', 'Placebo for Elagolix', 'Elagolix', 'Placebo for E2/NETA']"
NCT03104400,A Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Participants With Psoriatic Arthritis Who Have an Inadequate Response to at Least One Non-Biologic Disease Modifying Anti-Rheumatic Drug (DMARD),Psoriatic Arthritis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","August 4, 2024","['Adalimumab', 'Upadacitinib', 'Placebo to Upadacitinib', 'Placebo to Adalimumab']"
