NCTId,BriefTitle,Condition,LeadSponsorName,OverallStatus,Phase,InterventionType,CompletionDate,InterventionName
NCT02137382,"A Double-blind, Randomized, Multicenter, Cross-over Study to Compare the Effect of Creon N and Creon® on Fat Digestion in Subjects ≥ 12 Years of Age With Pancreatic Exocrine Insufficiency Due to Cystic Fibrosis",Pancreatic Exocrine Insufficiency Due to Cystic Fibrosis,Abbott,Completed,Phase 3,"['Drug', 'Drug']",August 2014,"['Creon®', 'Creon N']"
NCT03924947,"A Study to Compare US Marketed Creon Manufactured With a Modernized Process at an Alternate Manufacturing Site and Manufactured With the Approved Manufacturing Process at an Alternate Active Pharmaceutical Ingredient Site, in Participants With Exocrine Pancreatic Insufficiency Due to Cystic Fibrosis",Cystic Fibrosis,AbbVie,"Active, not recruiting",Phase 4,Drug,"July 28, 2022",Pancrelipase
NCT01641822,Phase 3 Study of Aztreonam for Inhalation Solution (AZLI) in a Continuous Alternating Therapy Regimen for the Treatment of Chronic Pseudomonas Aeruginosa Infection in Patients With CF,Cystic Fibrosis,Gilead Sciences,Completed,Phase 3,"['Drug', 'Drug', 'Drug']",January 2015,"['AZLI', 'Placebo to match AZLI', 'Tobramycin inhalation solution']"
NCT00757237,Aztreonam for Inhalation Solution vs Tobramycin Inhalation Solution in Patients With Cystic Fibrosis & Pseudomonas Aeruginosa,Cystic Fibrosis,Gilead Sciences,Completed,Phase 3,"['Drug', 'Drug']",November 2010,"['Aztreonam for Inhalation Solution (AZLI)', 'Tobramycin Inhalation Solution (TIS)']"
NCT00128492,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis (CF) Patients With Pseudomonas Aeruginosa (PA),Cystic Fibrosis,Gilead Sciences,Completed,Phase 3,Drug,January 2009,AZLI 75 mg two times a day (BID)/ three times a day (TID)
NCT00112359,International Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Cystic Fibrosis,Gilead Sciences,Completed,Phase 3,"['Drug', 'Drug']",April 2007,"['AZLI 75 mg three times a day (TID)', 'Placebo three times a day (TID)']"
NCT00104520,Safety and Efficacy Study of Aztreonam for Inhalation Solution (AZLI) in Cystic Fibrosis Patients With P. Aeruginosa,Cystic Fibrosis,Gilead Sciences,Completed,Phase 3,"['Drug', 'Drug']",September 2006,"['AZLI 75 mg two times a day (BID)/three times a day (TID)', 'Placebo two times a day (BID)/three times a day (TID)']"
NCT00625612,Study of Denufosol Tetrasodium Inhalation Solution in Patients With Cystic Fibrosis (CF) Lung Disease,Cystic Fibrosis,Merck Sharp & Dohme LLC,Completed,Phase 3,"['Drug', 'Drug']",October 2010,"['Denufosol Tetrasodium (INS37217) Inhalation Solution', 'Placebo']"
NCT00357279,Study of Denufosol Inhalation Solution in Patients With Mild Cystic Fibrosis Lung Disease,Cystic Fibrosis,Merck Sharp & Dohme LLC,Completed,Phase 3,"['Drug', 'Drug']",September 2008,"['denufosol tetrasodium (INS37217) Inhalation Solution', 'Placebo - 0.9% w/v sodium chloride solution']"
NCT05331183,Study to Evaluate Elexacaftor/Tezacaftor/Ivacaftor (ELX/TEZ/IVA) Long-term Safety and Efficacy in Subjects Without F508del,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Not yet recruiting,Phase 3,"['Drug', 'Drug']",March 2025,"['ELX/TEZ/IVA', 'IVA']"
NCT05274269,Evaluation of Efficacy and Safety of Elexacaftor/Tezacaftor/Ivacaftor (ELX/TEZ/IVA) in Cystic Fibrosis Subjects Without an F508del Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Recruiting,Phase 3,"['Drug', 'Drug', 'Other', 'Other']",May 2023,"['ELX/TEZ/IVA', 'IVA', 'Placebo (matched to ELX/TEZ/IVA)', 'Placebo (matched to IVA)']"
NCT05153317,Evaluation of Long-term Safety and Efficacy of ELX/TEZ/IVA in Cystic Fibrosis (CF) Participants 2 Years and Older,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Enrolling by invitation,Phase 3,"['Drug', 'Drug']",April 2026,"['ELX/TEZ/IVA', 'IVA']"
NCT05111145,A Study Evaluating the Safety of Elexacaftor/Tezacaftor/Ivacaftor in Participants With Cystic Fibrosis (CF),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Enrolling by invitation,Phase 3,"['Drug', 'Drug']",October 2023,"['ELX/TEZ/IVA', 'IVA']"
